family,factor,predictive_score,mean_return_ic,mean_drawdown_ic,persistence,avg_run_days
New low pressure,net_new_lows_share,0.09549876557096629,-0.04790059023779497,0.1430969409041376,0.7557251908396947,4.09375
New low pressure,new_lows_52w,0.08853953926939861,-0.05322717348432923,0.123851905054468,0.7841880341880342,4.633663366336633
Breadth deterioration,above200_deterioration_20d,0.08694056484632486,-0.045356836822411636,0.1285242928702381,0.8429951690821256,6.369230769230769
New low pressure,new_low_high_ratio,0.08389267174838057,-0.043319770926968565,0.12446557256979257,0.7817371937639198,4.581632653061225
Breadth deterioration,above50_deterioration_20d,0.08061510026831603,-0.04399067331141637,0.11723952722521569,0.8309178743961353,5.914285714285715
Breadth deterioration,above200_deterioration_10d,0.07643521450300939,-0.032539129485767995,0.12033129952025076,0.8221153846153846,5.621621621621622
Breadth deterioration,above200_deterioration_5d,0.07008241062584343,-0.029968805913151278,0.11019601533853558,0.7170263788968825,3.5338983050847457
Breadth deterioration,above50_deterioration_5d,0.05916532711632739,-0.02651033276230909,0.09065310034883287,0.709832134292566,3.446280991735537
Breadth deterioration,above50_deterioration_10d,0.05864724778369205,-0.026708374390869066,0.08961109255992566,0.78125,4.571428571428571
Drawdown,market_drawdown_252,0.04499215446198718,0.00815762726041202,0.08724909600196117,0.9287531806615776,14.035714285714286
Downside volatility,downside_semivariance_20d,0.03598169294647935,0.04251938068220715,0.0719633858929587,0.9420289855072463,17.25
Breadth failure,above50_failure_days,0.03458277405099802,0.06113169074240345,0.06916554810199604,0.8380952380952381,6.176470588235294
Breadth failure,above200_failure_days,0.03269522677164937,0.053027358377668796,0.06539045354329874,0.9148936170212766,11.75
Downside volatility,realized_volatility_20d,0.019719802805154583,0.07295968494957739,0.03943960561030917,0.9420289855072463,17.25
