horizon,stress_quintile,sample_count,avg_forward_return,win_rate,avg_forward_drawdown,drawdown_hit_rate_3pct
1,1,367,0.0012732999741579259,0.6239782016348774,0.0017780275162284167,0.005449591280653951
1,2,367,0.000847090818328517,0.5967302452316077,0.002354669062586029,0.0027247956403269754
1,3,367,0.0012535881869062987,0.6103542234332425,0.0024678080164121413,0.008174386920980926
1,4,367,2.3048435734394e-05,0.5340599455040872,0.0035607382405390513,0.0027247956403269754
1,5,367,0.0003785728446602751,0.553133514986376,0.0051791856723237524,0.027247956403269755
5,1,367,0.005554374944893289,0.6784741144414169,0.006656098242812535,0.051771117166212535
5,2,366,0.002705298189243269,0.5819672131147541,0.00856085066546849,0.05737704918032787
5,3,366,0.004574667606254222,0.5901639344262295,0.009607387907595005,0.09836065573770492
5,4,366,0.0029405228947440415,0.5628415300546448,0.011510911234032023,0.11202185792349727
5,5,366,0.003099777593684978,0.5846994535519126,0.017134197781895722,0.20491803278688525
10,1,366,0.012313844818925602,0.7459016393442623,0.00958004464119551,0.10382513661202186
10,2,365,0.006137827407089927,0.6438356164383562,0.014053434424915565,0.1589041095890411
10,3,365,0.007654357935154645,0.6136986301369863,0.014940387326665593,0.19726027397260273
10,4,365,0.005238761699913754,0.5315068493150685,0.01885933844737845,0.23835616438356164
10,5,365,0.006694556111090755,0.6191780821917808,0.026711400058768323,0.3232876712328767
20,1,364,0.02422847575219273,0.760989010989011,0.014606832574063276,0.17857142857142858
20,2,363,0.013876048056687535,0.71900826446281,0.021461677965976925,0.2644628099173554
20,3,363,0.013555902066949151,0.6446280991735537,0.022480310108824064,0.33884297520661155
20,4,363,0.008337387313311446,0.5564738292011019,0.029107792652720392,0.36639118457300274
20,5,363,0.017568059573185024,0.650137741046832,0.03746652053636264,0.4380165289256198
