family,factor,predictive_score,mean_return_ic,mean_drawdown_ic,persistence,avg_run_days,weight
New low pressure,net_new_lows_share,0.09549876557096629,-0.04790059023779497,0.1430969409041376,0.7557251908396947,4.09375,0.32047000964114575
Breadth deterioration,above200_deterioration_20d,0.08694056484632486,-0.045356836822411636,0.1285242928702381,0.8429951690821256,6.369230769230769,0.2917508251329585
Drawdown,market_drawdown_252,0.04499215446198718,0.00815762726041202,0.08724909600196117,0.9287531806615776,14.035714285714286,0.1509824350922556
Downside volatility,downside_semivariance_20d,0.03598169294647935,0.04251938068220715,0.0719633858929587,0.9420289855072463,17.25,0.12074557630689077
Breadth failure,above50_failure_days,0.03458277405099802,0.06113169074240345,0.06916554810199604,0.8380952380952381,6.176470588235294,0.11605115382674953
