factor,family,horizon,sample_count,return_ic,return_ic_pvalue,drawdown_ic,drawdown_ic_pvalue,high_stress_next_day_persistence,avg_high_stress_run_days
above50_deterioration_20d,Breadth deterioration,5,2063,-0.03478449291232632,0.11423491739272404,0.12115099323251116,3.3954662249397966e-08,0.8309178743961353,5.914285714285715
above50_deterioration_20d,Breadth deterioration,10,2058,-0.06488225189046558,0.0032325738124770087,0.1412602406197438,1.2209571692842375e-10,0.8309178743961353,5.914285714285715
above50_deterioration_20d,Breadth deterioration,20,2048,-0.0392747399995032,0.07557279807442088,0.12273978236797435,2.5145908865969854e-08,0.8309178743961353,5.914285714285715
new_lows_52w,New low pressure,1,2087,-0.0650504130753825,0.0029479678838971323,0.10935673391911027,5.504086015963945e-07,0.7841880341880342,4.633663366336633
new_lows_52w,New low pressure,5,2083,-0.04827139556264611,0.027590290352391442,0.12873380266881154,3.7147270834824307e-09,0.7841880341880342,4.633663366336633
new_lows_52w,New low pressure,10,2078,-0.051100409610902044,0.019830641713902405,0.1235705955723051,1.5927806767257693e-08,0.7841880341880342,4.633663366336633
new_lows_52w,New low pressure,20,2068,-0.04848647568838627,0.02746117058315825,0.13374648805764508,1.022032353790107e-09,0.7841880341880342,4.633663366336633
net_new_lows_share,New low pressure,1,1962,-0.06802568280617398,0.0025720490684222742,0.13750716001687285,9.595452364790308e-10,0.7557251908396947,4.09375
net_new_lows_share,New low pressure,5,1958,-0.03105162414177108,0.16960746652582978,0.13854780637517014,7.439835775617981e-10,0.7557251908396947,4.09375
net_new_lows_share,New low pressure,10,1953,-0.04173028102070475,0.06521247812582287,0.14183517710438845,3.0556582433565886e-10,0.7557251908396947,4.09375
net_new_lows_share,New low pressure,20,1943,-0.05079477298253007,0.025155176076094226,0.154497620120119,7.544663002864529e-12,0.7557251908396947,4.09375
new_low_high_ratio,New low pressure,1,2087,-0.06233984531793898,0.004385970758478082,0.11146771685820091,3.305799286384794e-07,0.7817371937639198,4.581632653061225
new_low_high_ratio,New low pressure,5,2083,-0.04266317036367591,0.05155149587884012,0.13070215471245805,2.132847724478397e-09,0.7817371937639198,4.581632653061225
new_low_high_ratio,New low pressure,10,2078,-0.03846765723706728,0.07957709049911217,0.1248523040124702,1.127542641511275e-08,0.7817371937639198,4.581632653061225
new_low_high_ratio,New low pressure,20,2068,-0.02980841078919209,0.1754089633706251,0.13084011469604115,2.342463538141477e-09,0.7817371937639198,4.581632653061225
realized_volatility_20d,Downside volatility,1,2067,0.07266242959384932,0.0009466623358584991,0.012407311876559959,0.572910757008578,0.9420289855072463,17.25
realized_volatility_20d,Downside volatility,5,2063,0.08069244901585879,0.00024365876198103996,0.026828212661551172,0.22321444428520573,0.9420289855072463,17.25
realized_volatility_20d,Downside volatility,10,2058,0.06155180606302395,0.0052179528150223045,0.05289300960948418,0.01640747455368598,0.9420289855072463,17.25
realized_volatility_20d,Downside volatility,20,2048,0.07693205512557749,0.0004928974228943095,0.06562988829364134,0.0029638719716699757,0.9420289855072463,17.25
downside_semivariance_20d,Downside volatility,1,2068,0.04343768376041024,0.04825927461607766,0.04496475634915212,0.04089607222666622,0.9420289855072463,17.25
downside_semivariance_20d,Downside volatility,5,2064,0.057047845023467755,0.00953374192674262,0.06058076911090392,0.005902978318434629,0.9420289855072463,17.25
downside_semivariance_20d,Downside volatility,10,2059,0.02679633165292926,0.2242152080876037,0.0865301915204937,8.445161286013445e-05,0.9420289855072463,17.25
downside_semivariance_20d,Downside volatility,20,2049,0.04279566229202134,0.05275896286652939,0.09577782659128506,1.4067251180855835e-05,0.9420289855072463,17.25
above200_failure_days,Breadth failure,1,2087,0.019090909027434814,0.3833719542872777,0.03595556650592165,0.10056306404880862,0.9148936170212766,11.75
above200_failure_days,Breadth failure,5,2083,0.021073696478557936,0.33638591224438824,0.06600452158689302,0.0025789742380873957,0.9148936170212766,11.75
above200_failure_days,Breadth failure,10,2078,0.05181326948819896,0.01817283021755565,0.08340276656467654,0.00014107981993426736,0.9148936170212766,11.75
above200_failure_days,Breadth failure,20,2068,0.12013155851648345,4.2636997748722944e-08,0.07619895951570373,0.0005241210396498994,0.9148936170212766,11.75
above50_failure_days,Breadth failure,1,2087,0.03202560839351506,0.1435914457989944,0.047405505161072246,0.030343396363538538,0.8380952380952381,6.176470588235294
above50_failure_days,Breadth failure,5,2083,0.04596593266121585,0.0359290174088274,0.0770718791333239,0.0004304440445909486,0.8380952380952381,6.176470588235294
above50_failure_days,Breadth failure,10,2078,0.07037084389374708,0.0013277628049469387,0.07831208971216085,0.0003526401555188212,0.8380952380952381,6.176470588235294
above50_failure_days,Breadth failure,20,2068,0.09616437802113581,1.1834633505084758e-05,0.07387271840142715,0.0007739561647333389,0.8380952380952381,6.176470588235294
