factor,family,horizon,sample_count,return_ic,return_ic_pvalue,drawdown_ic,drawdown_ic_pvalue,high_stress_next_day_persistence,avg_high_stress_run_days
market_drawdown_252,Drawdown,1,1962,-0.010940851688052729,0.6281553292976227,0.0878539144873573,9.759343765605289e-05,0.9287531806615776,14.035714285714286
market_drawdown_252,Drawdown,5,1958,0.014399153331897188,0.5242691361547568,0.08254144311983486,0.0002558733581411788,0.9287531806615776,14.035714285714286
market_drawdown_252,Drawdown,10,1953,0.015294392600375555,0.4993529490908259,0.07881209915310365,0.0004900852820354486,0.9287531806615776,14.035714285714286
market_drawdown_252,Drawdown,20,1943,0.013877814797428067,0.5409595901215034,0.09978892724754887,1.0490130397668948e-05,0.9287531806615776,14.035714285714286
above200_deterioration_5d,Breadth deterioration,1,2082,-0.0516735170470557,0.018375323551700108,0.09855142830491533,6.6352066262578094e-06,0.7170263788968825,3.5338983050847457
above200_deterioration_5d,Breadth deterioration,5,2078,-0.008321942386810865,0.704587797426991,0.10451568803381943,1.8009082009126889e-06,0.7170263788968825,3.5338983050847457
above200_deterioration_5d,Breadth deterioration,10,2073,-0.027122376502853388,0.21706516531166872,0.11103811275561416,4.0155622988754345e-07,0.7170263788968825,3.5338983050847457
above200_deterioration_5d,Breadth deterioration,20,2063,-0.03275738771588515,0.13692333503753795,0.1266788322597934,7.76087046108832e-09,0.7170263788968825,3.5338983050847457
above200_deterioration_10d,Breadth deterioration,1,2077,-0.017652037840596595,0.42136558012746694,0.08121399836652811,0.00021126603484057332,0.8221153846153846,5.621621621621622
above200_deterioration_10d,Breadth deterioration,5,2073,-0.006045050177257291,0.7832632991512484,0.10641321560526482,1.1984922424966631e-06,0.8221153846153846,5.621621621621622
above200_deterioration_10d,Breadth deterioration,10,2068,-0.04347453737132361,0.04806927529101679,0.13370046769087857,1.035688503209584e-09,0.8221153846153846,5.621621621621622
above200_deterioration_10d,Breadth deterioration,20,2058,-0.0629848925538945,0.0042575158201622835,0.15999751641833157,2.856630897733341e-13,0.8221153846153846,5.621621621621622
above200_deterioration_20d,Breadth deterioration,1,2067,-0.02944644901125185,0.18081765681364192,0.08078197926591527,0.0002364726859744161,0.8429951690821256,6.369230769230769
above200_deterioration_20d,Breadth deterioration,5,2063,-0.023318176958769792,0.28977302324862736,0.11765724617167575,8.349517061989195e-08,0.8429951690821256,6.369230769230769
above200_deterioration_20d,Breadth deterioration,10,2058,-0.062035606867318495,0.0048737984616742105,0.14670456779364527,2.270949778877244e-11,0.8429951690821256,6.369230769230769
above200_deterioration_20d,Breadth deterioration,20,2048,-0.06662711445230642,0.002555336762354121,0.16895337824971604,1.396452377519644e-14,0.8429951690821256,6.369230769230769
above50_deterioration_5d,Breadth deterioration,1,2082,-0.05619709728473621,0.010326481073670322,0.10080265506849101,4.055879412839897e-06,0.709832134292566,3.446280991735537
above50_deterioration_5d,Breadth deterioration,5,2078,0.004668884486051256,0.8315573828141869,0.08932440357100885,4.5510124068794595e-05,0.709832134292566,3.446280991735537
above50_deterioration_5d,Breadth deterioration,10,2073,-0.010862353639733124,0.6211073746032391,0.083119380200105,0.00015142692600999204,0.709832134292566,3.446280991735537
above50_deterioration_5d,Breadth deterioration,20,2063,-0.04365076461081827,0.04743758824788479,0.08936596255572664,4.8094304019073944e-05,0.709832134292566,3.446280991735537
above50_deterioration_10d,Breadth deterioration,1,2077,-0.007490245638837226,0.7329826774392812,0.06439406301286758,0.0033249235265269596,0.78125,4.571428571428571
above50_deterioration_10d,Breadth deterioration,5,2073,0.0039001144663574324,0.859141898157568,0.08158531917805563,0.00020036460607026805,0.78125,4.571428571428571
above50_deterioration_10d,Breadth deterioration,10,2068,-0.03624281739459769,0.09941493733816824,0.09589756744815695,1.2515914271921998e-05,0.78125,4.571428571428571
above50_deterioration_10d,Breadth deterioration,20,2058,-0.06700054899639878,0.0023574438959622383,0.11656742060062253,1.1392953988967704e-07,0.78125,4.571428571428571
above50_deterioration_20d,Breadth deterioration,1,2067,-0.03702120844337038,0.09243299796835122,0.08380709268063347,0.0001363839343821491,0.8309178743961353,5.914285714285715
