horizon,sample_count,return_ic,return_ic_pvalue,drawdown_ic,drawdown_ic_pvalue
1,1835,-0.02957116801328058,0.20545907063045699,0.1161155846782413,6.11589251400847e-07
5,1831,-0.017489184435372982,0.4545134860624962,0.14787630911794575,2.0397289545140894e-10
10,1826,-0.05074638279180751,0.03012883654407701,0.17643628405850553,3.103917990469883e-14
20,1816,-0.07059925258516517,0.002610408569465012,0.2143261768446595,2.591635616477598e-20
