Date,Engine,Ticker,EntryPrice,Qty,Target,StopLoss,HoldDays,CMP,PnL,Status,ExitDate,ExitPrice,Days_Held,Flag,Action,Notes
09-06-2026,E5,ACUTAAS.NS,3260,3,3650,2918,10,,-555,CLOSED,12-06-2026,3075,,,,
05-06-2026,E3,DATAPATTNS,4000,3,4201,3870,5,,900,CLOSED,09-06-2026,4300,,,,
09-06-2026,E1,ATLANTAELE,1887,8,1990,1839,3,,0,OPEN,,,,,BUY,
09-06-2026,E3,CGPOWER,905,12,959,883,5,,0,OPEN,,,,,BUY,
09-06-2026,E1,AIAENG,4530,2,4727,4354,3,,0,OPEN,,,,,BUY,
09-06-2026,E1,OFSS,9580,1,9850,9350,3,,-500,CLOSED,11-06-2026,9100,,,BUY,
08-06-2026,E5,KIRLOSENG,1830,7,1935,1767,5,,840,CLOSED,15-06-2026,1950,,,,
09-06-2026,E4,VIJAYA.NS,1290,11,1370,1244,14,,,OPEN,,,,,,
09-06-2026,E6,SHAILY.NS,3205,3,3400,3100,10,,-630,CLOSED,10-06-2026,3090,,,,
12-06-2026,E4,CHENNPETRO,1135,9,1200,1094,14,,585,CLOSED,15-06-2026,1200,,,BUY,
12-06-2026,E4,ADANIENSOL.NS,1488,8,1570,1408,14,,,OPEN,,,,,BUY,
12-06-2026,E3,POLYCAB,9480,1,9868,9180,5,,,OPEN,,,,,,
15-06-2026,E4,NESTLEIND.NS,1377,8,1456.44,1322.78,14,,,OPEN,,,,,,
15-06-2026,E5,INOXINDIA,1775,6,1965,1592,14,,450,CLOSED,16-06-2026,1850,,,,
15-06-2026,E5,SOLARINDS,17300,1,1965,1592,14,,,OPEN,,,,,,
16-06-2026,E1,ATGL.NS,713,22,750,689,,713,0,OPEN,,,,,BUY,
16-06-2026,G1,TMCV.NS,405,22,384,429,,405,0,OPEN,,,,,BUY,
