cluster,sample_count,return_1d,return_5d,return_10d,return_20d,win_rate_5d,win_rate_10d,win_rate_20d,volatility_1d,downside_volatility_1d,avg_drawdown_20d,tail_loss_5pct_10d,persistence,combination_count,outcome_state
0,165,-0.0001918343265951299,-0.0007216636231080207,0.003406229619451347,0.012647752687800039,0.5454545454545454,0.5878787878787879,0.6,0.017486209796931454,0.016884767178876648,-0.051273139607143574,-0.06602798510894796,0.15151515151515152,2,Capital Protection
1,768,0.0013159145748475355,0.005599498667545229,0.012389993619832458,0.02426079078926774,0.66015625,0.7278645833333334,0.7877604166666666,0.007671146561738968,0.006708360720472382,-0.028927626624285666,-0.029435095328767587,0.3111979166666667,9,Constructive
2,872,0.000257160343084173,0.002799339523320316,0.004158952041508959,0.007454711893322702,0.551605504587156,0.5573394495412844,0.5630733944954128,0.009001978976680713,0.00615210695853271,-0.04125200502722571,-0.048507908578608844,0.3268348623853211,8,Caution
