combination,sample_count,return_1d,return_5d,return_10d,return_20d,win_rate_1d,win_rate_5d,win_rate_10d,win_rate_20d,volatility_1d,downside_volatility_1d,avg_drawdown_20d,tail_loss_5pct_10d,persistence
HIGH Trend + HIGH Leadership + HIGH Participation,102,0.0026761148696014367,0.008862989277414864,0.015500738654624069,0.029268413828728565,0.7058823529411765,0.7450980392156863,0.8431372549019608,0.8627450980392157,0.006209741741407785,0.005135032833441572,-0.025627886429501187,-0.023605945124688766,0.22549019607843138
HIGH Trend + HIGH Leadership + LOW Participation,60,0.0018996960699355497,0.007606450142687111,0.011690145223753397,0.02740375333368811,0.6833333333333333,0.7333333333333333,0.7333333333333333,0.8833333333333333,0.005828892762385857,0.0041617909325109064,-0.024379988842358643,-0.027635072504223705,0.13333333333333333
HIGH Trend + HIGH Leadership + MEDIUM Participation,190,0.0008856440358405241,0.0023726803025533242,0.009341603071629711,0.023178750578108632,0.631578947368421,0.6157894736842106,0.7105263157894737,0.8157894736842105,0.006575781754886332,0.006311748766115066,-0.02647355560816114,-0.036105724302648065,0.5052631578947369
HIGH Trend + LOW Leadership + LOW Participation,7,0.004230516127146972,0.01946235331503386,0.037961569628318766,0.039738568154368645,0.7142857142857143,0.8571428571428571,1.0,1.0,0.005925634570011047,0.003058883135381533,-0.028749999853068666,0.009795043445146201,0.0
HIGH Trend + LOW Leadership + MEDIUM Participation,1,0.0009783282930726,0.0083186300218509,-0.0027269230740846,-0.0138916785297443,1.0,1.0,0.0,0.0,,,-0.03275389010690832,-0.0027269230740846,0.0
HIGH Trend + MEDIUM Leadership + HIGH Participation,45,0.0013920877243321873,0.008074473292431616,0.014787143286245448,0.026358121623173872,0.6666666666666666,0.6888888888888889,0.7333333333333333,0.7777777777777778,0.010779724846016851,0.014536738183014573,-0.032314919277855195,-0.02139932795656012,0.15555555555555556
HIGH Trend + MEDIUM Leadership + LOW Participation,80,-0.0003965454595404808,0.0032820920467082583,0.00890137110076357,0.01720990174771291,0.575,0.6,0.65,0.7125,0.008596186989573738,0.007256266695756901,-0.03235661824966123,-0.029842497956933414,0.1625
HIGH Trend + MEDIUM Leadership + MEDIUM Participation,128,0.0002538179702503389,0.003198709015334283,0.012003945194180514,0.022701338108300457,0.5546875,0.6484375,0.7421875,0.765625,0.008025584898022072,0.006705752855717296,-0.0284517893898335,-0.017815330644507358,0.34375
LOW Trend + HIGH Leadership + HIGH Participation,8,0.0038104461827619756,0.0041930602937258876,0.0036605730926528,0.014668044577656213,0.625,0.625,0.5,0.75,0.006502369632559241,0.0016071026051633326,-0.04654386325425568,-0.017740664802488766,0.125
LOW Trend + HIGH Leadership + LOW Participation,7,0.006287082168693086,0.01812351704251926,0.009867436086467044,0.02261507002331009,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.5714285714285714,0.00831221184183039,0.0016007511979784475,-0.037883381435288195,-0.039269685299911636,0.2857142857142857
