condition,sample_count,avg_return_10d,win_rate_10d,avg_return_20d,win_rate_20d,volatility_1d
All three factors LOW,106,0.0004992141118324769,0.5566037735849056,0.010559543636029076,0.5849056603773585,0.015761431970710855
Trend LOW,613,0.006110727815986309,0.5807504078303426,0.014712814130968803,0.6247960848287113,0.012993212067067994
Severe index drawdown (proxy),94,0.027650790848078897,0.7127659574468085,0.04998654976317031,0.8191489361702128,0.02067459293758192
High realized volatility (top decile),184,0.022027231684928993,0.6793478260869565,0.03930777786599853,0.7771739130434783,0.016930324961355433
