states,silhouette,bootstrap_stability_ari,smallest_cluster_combinations,selection_score
3,0.2946576249869801,0.6904054249039416,2,0.4727441349496128
4,0.23989726594746563,0.598169837717128,2,0.40111992324381374
5,0.2459783515064513,0.6345906690362891,2,0.42085389439487836
