Date,Close,High,Low,Open,Volume,EMA10,EMA21,EMA50,EMA200,ATR14,ADX14,ROC63,RS_score,Volume_ratio
2021-06-21,706.6647338867188,719.8111211655277,662.2474523183222,668.9173162097038,51759617,706.6647338867188,706.6647338867188,706.6647338867188,706.6647338867188,57.56366884720546,0.0,,,
2021-06-22,718.1195068359375,736.2440731445653,713.3829299075871,715.3162169805074,35597113,708.7474198774858,707.7060768821023,707.1139406690411,706.7787117270095,53.83242490195761,13.333333333333334,,,
2021-06-23,694.7267456054688,731.7491825391049,691.633474381413,724.0160339785859,31168761,706.1982063734827,706.5261376751355,706.6281683136069,706.6587916660988,52.00352933605553,20.377617541833573,,,
2021-06-24,691.0277099609375,705.7262607297291,683.0456907156874,704.7528451976881,21503302,703.4399342984743,705.1171897011175,706.0163856331101,706.5032585148036,48.09380142645368,24.897242944123533,,,
2021-06-25,693.2664794921875,699.8856925180515,687.717999671771,695.9920308072418,12085421,701.5902152427858,704.0398524093966,705.5163893138582,706.3715492707976,43.30365361576392,28.814251626108167,,,
2021-06-28,697.2089233398438,710.544728939295,694.0453226405705,699.8858162392288,14139292,700.7936167149782,703.418858857619,705.1906063344851,706.2803788635244,39.83359972660974,32.853686248630545,,,
2021-06-29,692.0984497070312,703.7794361999769,690.1516186248737,698.4256507240435,9303151,699.2126772589877,702.3897307530201,704.6771884275261,706.1392651405744,36.33949543974221,35.449317421296946,,,
2021-06-30,684.992431640625,698.5228701079635,683.4349313467717,698.5228701079635,9100756,696.627178055649,700.8081581064388,703.9052371809809,705.9288488868435,33.50595454926882,36.109032009493774,,,
2021-07-01,684.408447265625,692.9258333010655,681.3908828352398,687.2313761166847,8035542,694.405590639281,699.3172753027285,703.1406571843003,705.7147155373787,30.576487338143068,36.17999245531953,,,
2021-07-02,691.5144653320312,705.0449065113191,686.2579973321177,686.2579973321177,17676086,693.8799314925081,698.607928941756,702.6847280920545,705.5734195154349,29.251150259149878,37.54838972407391,,,
2021-07-05,691.1737670898438,701.8326802888118,684.3111986727249,697.9390177074591,11105134,693.3879016011145,697.9320960461275,702.2333178566737,705.4301393917972,27.68719444007482,38.19005053478572,,,
2021-07-06,693.7532958984375,712.4915458174869,688.3021330017162,693.0718931097758,14580124,693.4543369279005,697.5522051236102,701.9007679759585,705.3139518943508,27.22082355683426,39.89687314380927,,,
2021-07-07,700.95654296875,703.7794719462884,687.2314069074407,697.8416606091427,8719991,694.8183743898732,697.8616903822592,701.8637395443033,705.2705945916085,25.79778908776938,41.03268389052208,,,
2021-07-08,692.7799072265625,708.6465699177556,690.2489909721688,704.7529074456801,7804439,694.4477439965439,697.3997100953777,701.5075108259605,705.1463091451901,24.811094402145038,42.581907017035306,,,
2021-07-09,709.1331787109375,717.4072103088001,689.518832981566,693.5585309973136,14924156,697.1178230355246,698.4663890604286,701.8065566253714,705.1859794891279,25.22139879215692,44.84446007475331,,,
2021-07-12,698.9610595703125,716.0932097747393,696.0408127708438,714.8764402749607,8664504,697.4529569509406,698.5113591067816,701.6949685055653,705.1240399874482,24.532198553722065,46.805339391442246,,,
2021-07-13,685.2845458984375,701.7352924272205,683.3377148021351,700.8591946688565,12287372,695.2405185777582,697.3089215423867,701.051422520972,704.9266320860651,23.714249096570512,43.83437090247884,,,
2021-07-14,678.7139892578125,692.5851607844154,676.8644759559041,690.5410119034176,13812481,692.2356950650408,695.6184731528799,700.1754447459462,704.6658097693661,22.648440527495946,39.361352005926534,,,
2021-07-15,680.5147705078125,687.6207513781503,677.0104983790019,681.0988554709934,7490612,690.1046178728175,694.2454092760556,699.4044379130781,704.4255009209924,21.04334885704961,35.48473562891454,,,
2021-07-16,669.3204956054688,684.2138007654958,667.0329928717753,681.0988591825957,6941246,686.3256865514813,691.979508033275,698.2246754696424,704.0761973855145,20.528343395272397,32.17620168053838,,,0.43834958798430435
2021-07-19,655.7901000976562,674.5770092520307,643.8171001276456,667.7631000676669,13618862,680.773761741695,688.6895618573096,696.5605744746625,703.5957387060333,21.892552159154093,33.33254091445608,,,0.9778103757760336
