Date,Close,High,Low,Open,Volume,EMA10,EMA21,EMA50,EMA200,ATR14,ADX14,ROC63,RS_score,Volume_ratio
2021-06-18,1224.497802734375,1247.1075772888548,1207.6248015155943,1241.3708039531557,436562,1224.497802734375,1224.497802734375,1224.497802734375,1224.497802734375,39.48277577326053,0.0,,,
2021-06-21,1236.7186279296875,1242.8169651056933,1202.82797884848,1205.1901517577794,120962,1226.7197709517045,1225.6087868430398,1224.97705078125,1224.6194029850747,39.55027050445423,13.333333333333334,,,
2021-06-22,1244.8658447265625,1269.8137806214602,1231.4638382330534,1238.9602946838088,194684,1230.0190570925877,1227.3594284688145,1225.7570034849878,1224.820860116831,39.39022675564791,12.514145606974884,,,
2021-06-23,1234.4046630859375,1262.6789446122032,1224.4977776057294,1253.398794132317,174800,1230.8164400004694,1227.9999043430985,1226.0961273909074,1224.9162213404043,39.229018789091356,13.306363069808974,,,
2021-06-24,1241.443115234375,1255.351336684549,1227.2698407698506,1233.1753914128558,180794,1232.7485627702704,1229.2220144241235,1226.6979700514357,1225.080668045817,37.74268240583898,13.992951537598518,,,
2021-06-25,1263.57080078125,1281.239195352255,1246.191587024411,1252.940787108876,209290,1238.352606044994,1232.3446313656805,1228.1439634133892,1225.4636544411944,38.01646876744444,15.592987871394444,,,
2021-06-28,1302.7161865234375,1320.5774866695683,1267.0418418836985,1278.973463908476,454450,1250.0550752228928,1238.742045470931,1231.0683643196658,1226.2323363524606,40.54849771689429,20.89547881505424,,,
2021-06-29,1355.8660888671875,1373.9201755600504,1305.4398754256565,1305.4398754256565,612878,1269.2934413400371,1249.3896857796817,1235.962392733294,1227.5222244371841,44.635896559523445,27.770835876229853,,,
2021-06-30,1416.7774658203125,1440.4719285434803,1363.2418306127165,1371.485424646004,1428960,1296.108718518269,1264.6067566924662,1243.0531799131772,1229.4053611673646,49.96522230842603,35.03460770390006,,,
2021-07-01,1427.16650390625,1454.0187723947406,1411.0648881005604,1432.0838723576462,607786,1319.937406770629,1279.384915530083,1250.273310265847,1231.3731337319307,49.03037723985992,41.51223464664051,,,
2021-07-02,1412.270263671875,1444.78692532955,1400.4591623030542,1427.9380512019436,286220,1336.7251989344918,1291.4654017247913,1256.626131968044,1233.1731051741192,48.403362011411375,45.53306768258611,,,
2021-07-05,1399.8323974609375,1426.4917635223446,1394.6499755420916,1426.4917635223446,172412,1348.1992350302091,1301.3169467917135,1262.2420639481577,1234.8314065899085,46.19515214059026,48.113633379849226,,,
2021-07-06,1404.605224609375,1434.2052454536604,1398.0488106943244,1398.0488106943244,151700,1358.4548694991483,1310.7067902296826,1267.8249329936957,1236.5206983114954,44.85665648975636,50.61728971586354,,,
2021-07-07,1356.0589599609375,1416.8500201533843,1338.7521286035892,1405.3282177997246,495012,1358.01924958311,1314.8297147507058,1271.2850909139797,1237.7101337507934,49.2888211644282,45.30886150601041,,,
2021-07-08,1349.38232421875,1388.4071474095433,1342.7536442614996,1365.2187726258508,270334,1356.4488995168626,1317.9708610659825,1274.3477275141668,1238.8212998251015,48.80411209557693,40.70822372413769,,,
2021-07-09,1337.8360595703125,1367.5083399467903,1323.8555744122075,1349.8399462997977,390316,1353.064746799308,1319.7767882027397,1276.8374660261727,1239.8065213151035,48.11726588744439,35.68371364924072,,,
2021-07-12,1337.3780517578125,1363.338414833232,1321.1800421996013,1349.8400146863682,198260,1350.212620428127,1321.3769030713825,1279.2116066430997,1240.7773823145335,47.32274678693591,31.587480485260986,,,
2021-07-13,1331.0975341796875,1350.0845947544162,1316.5553705174727,1343.1033795553676,333574,1346.7371502011379,1322.260596808501,1281.2463488994365,1241.6760902932915,45.48361044693692,28.523011995179427,,,
2021-07-14,1346.3160400390625,1359.9644815239851,1331.1216039940005,1331.1216039940005,578864,1346.660584717124,1324.4474552840068,1283.7981014931474,1242.7172838231004,43.26805536658502,24.822561134612894,,,
2021-07-15,1374.8690185546875,1390.449981692134,1356.896582339996,1359.9643911324035,649056,1351.7893908694082,1329.0312337631597,1287.3695100053646,1244.0322264572458,43.38350687144989,24.725507644785054,,,1.6334793606675497
2021-07-16,1372.9122314453125,1398.6631165599033,1358.0801453022066,1396.24746350885,290896,1355.6299073377543,1333.0204153706281,1290.7241265324215,1245.3146145665798,43.01010212294947,25.33056087514052,,,0.7457678566301186
2021-07-19,1362.935791015625,1374.8690948938993,1349.3839522230203,1371.7529256837488,210786,1356.95824982464,1335.7399949747187,1293.555956512155,1246.4849745312472,40.6734408626734,24.531239049869264,,,0.5342392009602751
2021-07-20,1355.495361328125,1378.9755563724566,1345.5187613198884,1362.9356435621648,241522,1356.6922700980008,1337.5359373704828,1295.9849527794481,1247.569654996888,39.71122142132604,24.27048842476984,,,0.6085279374545692
2021-07-22,1366.583251953125,1387.6960354222824,1359.118789878418,1362.4282816439847,483150,1358.490630435296,1340.176602332541,1298.753513531357,1248.753869891975,38.70981511103689,24.969473797035572,,,1.171803945061155
2021-07-23,1468.306640625,1512.199112525523,1413.1573176157049,1478.379963044122,3675686,1378.457177742515,1351.8247876318555,1305.4026557703235,1250.9384745758857,52.963954505885056,31.177854395754018,,,6.261201626552489
2021-07-26,1570.2955322265625,1593.365022777695,1436.661535591522,1467.2437319962687,2066392,1413.3368785577961,1371.6857644131924,1315.7906117097837,1254.1161567415643,66.79589219659013,37.733562591227155,,,3.039201944602594
2021-07-27,1528.190673828125,1568.7252899763184,1515.5809161243335,1568.7252899763184,707344,1434.219386788765,1385.9134834509136,1324.120025910503,1256.8432663643162,65.18505538400865,43.415176360637204,,,1.021350721254296
2021-07-28,1496.73876953125,1537.345924683622,1488.453125976839,1526.6928701480792,422818,1445.5865472873984,1395.9885094582169,1330.8893884054341,1259.2302862963254,63.012754493711896,45.427729660036185,,,0.6190107259392517
2021-07-29,1508.8170166015625,1535.7999105249085,1492.8737051869448,1509.7832778994182,313408,1457.08299625361,1406.2456464712482,1337.8669424523412,1261.713736349114,60.33454793961213,47.1719425195153,,,0.499632698036975
2021-07-30,1518.576171875,1545.0517539762757,1492.3421550886048,1520.4120918584551,304536,1468.2635736393172,1416.4575124170437,1344.9535789002884,1264.269581478725,59.317888066019954,48.97188387455967,,,0.49751492490863225
2021-08-02,1515.6534423828125,1542.2015689555262,1504.106665726442,1533.8675643032236,155992,1476.8799134108617,1425.4753242321137,1351.6476911937207,1266.7709134280196,56.488156754428516,50.53183304893147,,,0.2575813292835949
2021-08-03,1481.08544921875,1530.533803192759,1466.4465661288573,1528.6254606107434,245000,1477.644556285023,1430.5307901399897,1356.7236817045061,1268.903396371211,57.50136746235828,47.16600282430943,,,0.402145454205235
2021-08-04,1477.7275390625,1506.1840055734535,1440.6472610822905,1491.424340389664,810660,1477.659644062746,1434.8214036783997,1361.4689310126628,1270.9812485372938,58.57275106619892,41.77216647095749,,,1.2623557589667573
2021-08-05,1490.4580078125,1536.3312379796075,1476.1332316766488,1489.4917465432536,915082,1479.986619289974,1439.8792767814996,1366.5273261812838,1273.165096888291,58.78945176443355,39.16976173962116,,,1.3798316545126705
2021-08-06,1506.5946044921875,1519.445927241958,1498.8162716293866,1499.371824708222,455188,1484.8244347812854,1445.9443065733803,1372.0201606248488,1275.4877785559913,54.815914119770156,36.914344305796334,,,0.6769334641035117
2021-08-09,1512.464599609375,1526.2580025245663,1505.145099879578,1516.3054644824936,356204,1489.8499192954835,1451.991605940289,1377.5277856830655,1277.8457568749304,50.32217925646591,35.45439775522073,,,0.5310763389063916
2021-08-10,1526.9586181640625,1543.602445670205,1510.870343731502,1517.513390250427,602514,1496.596955453407,1458.8067888697228,1383.3878183293791,1280.3244918131306,47.97683561409752,35.403023631095515,,,0.8720288027677334
2021-08-11,1495.55517578125,1539.1818990672543,1490.4581235996448,1530.074838716394,575418,1496.4075409675602,1462.1475513162252,1387.7865382294526,1282.4660906585846,48.0764275945658,32.78149040259588,,,0.8184877425551096
2021-08-12,1530.2921142578125,1535.38916607413,1497.0527028053034,1503.0435934817797,259504,1502.5683724748787,1468.3425115836424,1393.374992191349,1284.9320212416615,46.97743595434101,30.5094949378962,,,0.37770330240046757
2021-08-13,1509.5177001953125,1540.2206799368669,1498.1883088093552,1537.9499892249423,287386,1503.8318866058667,1472.0857105483396,1397.9296081915045,1287.1667046143348,46.31809397743043,29.025170544910285,,,0.42959198881033245
2021-08-16,1504.444580078125,1526.6927688602643,1479.08022236763,1517.0301563991234,353788,1503.9432854190045,1475.0274259601383,1402.1066659125484,1289.3286735244224,46.49068764612427,25.189964413266598,,,0.5263771038130307
