Date,Close,High,Low,Open,Volume,EMA10,EMA21,EMA50,EMA200,ATR14,ADX14,ROC63,RS_score,Volume_ratio
2023-04-28,579.8140869140625,589.988802213268,542.4903365383526,567.9761194862833,216752,579.8140869140625,579.8140869140625,579.8140869140625,579.8140869140625,47.49846567491534,0.0,,,
2023-05-02,575.99853515625,585.8797600269318,567.046686902927,577.123651721675,64792,579.1203502308239,579.4672185724431,579.6644574333641,579.7761212249301,43.67641333479392,0.0,,,
2023-05-03,577.759521484375,584.6568166463965,572.3297384722824,574.433196439136,50711,578.8729268223786,579.3119733826187,579.5897540628155,579.7560555558699,39.496501980036605,0.0,,,
2023-05-04,573.992919921875,584.0698245501973,567.4380205010292,584.0698245501973,46339,577.9856528404688,578.8284230680056,579.3702703710139,579.6987109226959,36.44787558925413,13.333333333333334,,,
2023-05-05,571.8406372070312,577.2215157436244,553.7413184930363,573.9930005643145,40353,576.8683772707528,578.193169807917,579.074990639093,579.6205211344803,34.71885181076534,24.888888888888893,,,
2023-05-08,573.992919921875,577.17252951951,565.4813376717153,565.4813376717153,25259,576.3455668436841,577.8113289091858,578.8756937482217,579.5645251025142,31.64849714903592,34.903703703703705,,,
2023-05-09,566.4107666015625,574.726668518137,562.5463061212162,574.726668518137,35107,574.5392395269347,576.7749141539474,578.3868730758037,579.4336419333505,29.052745848753908,43.583209876543215,,,
2023-05-10,565.6281127929688,569.6392887079423,557.6546063778911,568.8566275188281,22544,572.9190346662135,575.7615685756766,577.8865295353003,579.2962734841925,26.777004046260217,51.10544855967079,,,
2023-05-11,567.6337280273438,589.9399014117089,560.3450721949523,571.2046385346544,72513,571.9580698227826,575.0226739803736,577.4844588879295,579.1802282557661,27.152714068993063,45.643247009944766,,,
2023-05-12,576.78125,581.3305621017845,561.0788800341064,571.3514663294126,31063,572.8350116731857,575.1825445276124,577.4568820687949,579.1563578253605,26.232576468817733,40.909339000182214,,,
2023-05-15,569.8838500976562,576.5365594952084,565.8237095121023,573.4548199964312,46042,572.2984368412713,574.70084503398,577.159900422868,579.0640940668759,24.195905004695067,36.80661872505467,,,
2023-05-16,568.3185424804688,576.6344443707408,564.6007973942416,576.6344443707408,47585,571.5748196847617,574.1206357109336,576.8131805035582,578.9571731555684,22.574270600935616,32.53883994601013,,,
2023-05-17,569.4924926757812,574.6777497536466,565.5302220345523,568.3185307918756,18190,571.1962147740379,573.6998954350106,576.5260947063905,578.8629972303964,20.784038216690114,28.84009833750486,,,
2023-05-18,567.38916015625,576.0474584740641,560.3939946040448,570.4709000277245,22692,570.5040230253492,573.1261922278505,576.1677835475615,578.7488296973204,20.099961637134008,27.335536740723672,,,
2023-05-19,569.1500854492188,572.2318846145489,559.6112572014665,569.9327465935703,43983,570.2578525569618,572.7647279752476,575.8925797005677,578.6533198043045,19.102717073927128,26.428986200121905,,,
2023-05-22,567.7315063476562,572.329722901647,562.7908941866195,569.2968884262598,20815,569.7985168825426,572.3071623727393,575.5725376082967,578.5446450435418,17.827531959407168,25.559946382365204,,,
