n,pearson_r,pearson_p,spearman_r,spearman_p,ic,quintile_spread_q5_q1,monotonicity,factor,factor_label,horizon
1888,0.018598528270633317,0.41928543267039975,0.029416131514745675,0.2013926600633196,0.029416131514745675,0.0005503943465136078,0.5,trend_regime,Trend Regime,1
1886,0.012772355121982989,0.5793502837403872,0.028723487428711576,0.2124573562420142,0.028723487428711576,0.0009412504520070523,0.5,trend_regime,Trend Regime,3
1884,0.0031693478551373107,0.8906555049492996,0.020919648317409664,0.3641342864849452,0.020919648317409664,0.0007128014025492594,0.5,trend_regime,Trend Regime,5
1879,0.0007193888729766406,0.9751396156935479,0.06512041345535118,0.004743992326757008,0.06512041345535118,0.0026484994214335048,0.5,trend_regime,Trend Regime,10
1869,0.003979337441733253,0.8635003949441342,0.09246788132632583,6.242002867000966e-05,0.09246788132632583,0.0025203449289187205,0.75,trend_regime,Trend Regime,20
2067,0.0947638260447935,1.5925899938894985e-05,0.09576603460840345,1.2927649829120295e-05,0.09576603460840345,0.002837279781809555,0.75,relative_leadership,Relative Leadership,1
2065,0.07947649146603564,0.0003002027417247024,0.07400856481861288,0.0007635047388178557,0.07400856481861288,0.00359199192513074,1.0,relative_leadership,Relative Leadership,3
2063,0.06539764125258574,0.0029609890828027805,0.054965036565737285,0.012528401252891173,0.054965036565737285,0.004762711850072231,0.75,relative_leadership,Relative Leadership,5
2058,0.07370308062981608,0.0008196452439900181,0.08924753314142256,5.027098307055828e-05,0.08924753314142256,0.007773893158358757,1.0,relative_leadership,Relative Leadership,10
2048,0.08453064188604115,0.00012817404147565917,0.107303813071713,1.13242258250906e-06,0.107303813071713,0.01109822045508502,0.75,relative_leadership,Relative Leadership,20
2052,0.056552504233726715,0.010399285449318485,0.10450139541575043,2.096232122024416e-06,0.10450139541575043,0.0019208396584108698,0.75,participation_impulse,Participation Impulse,1
2052,0.0703292283384896,0.0014333450446779455,0.08595015581658655,9.687046520005437e-05,0.08595015581658655,0.004056276994766487,0.5,participation_impulse,Participation Impulse,3
2052,0.07217750928364454,0.0010684808896468745,0.08167936836283843,0.00021228507267363118,0.08167936836283843,0.005410152515629599,0.5,participation_impulse,Participation Impulse,5
2052,0.04875016799912321,0.027223256761884917,0.05343761456854312,0.015481042835827647,0.05343761456854312,0.005737766423326174,0.75,participation_impulse,Participation Impulse,10
2052,0.05123531898713471,0.02028580329440675,0.04480351159931119,0.042423984015558976,0.04480351159931119,0.006151062661908516,0.5,participation_impulse,Participation Impulse,20
