AddedDate,AddedTS,Source,Ticker,Score,Entry,SL,Target,Qty,Risk,Status,ExitPrice,ExitDate
09-06-2026,09-06-2026 14:57,Top Opportunities,MAHABANK.NS,79.8,83.89,80.84,89.99,178,543.0,OPEN,,
09-06-2026,09-06-2026 14:58,All Strong Buys,APARINDS.NS,75.2,13549.0,12697.64,15251.71,1,851.0,TP ✓,15986.0,2026-06-15
15-06-2026,15-06-2026 15:30,Top Opportunities,ANGELONE.NS,77.7,352.3,333.03,390.84,42,809.0,OPEN,,
15-06-2026,15-06-2026 15:30,Top Opportunities,LT.NS,79.3,4166.5,4040.73,4418.05,3,377.0,OPEN,,
15-06-2026,15-06-2026 15:30,All Strong Buys,BHARATFORG.NS,77.1,2019.9,1939.22,2181.26,7,565.0,OPEN,,
15-06-2026,15-06-2026 15:30,All Strong Buys,UNIVCABLES.NS,76.6,1198.8,1062.03,1472.35,12,1641.0,OPEN,,
15-06-2026,15-06-2026 17:31,Top Opportunities,LT.NS,79.4,4169.8,4044.02,4421.35,3,377.0,OPEN,,
15-06-2026,15-06-2026 17:32,Top Opportunities,ANGELONE.NS,77.7,352.3,333.03,390.84,42,809.0,OPEN,,
15-06-2026,15-06-2026 17:32,Top Opportunities,NUVAMA.NS,77.7,1660.9,1582.77,1817.16,9,703.0,OPEN,,
2026-06-16,2026-06-16 10:01:18,Top Opportunities,KPIL.NS,76.8,1351.1,1284.85,1483.59,11,729.0,OPEN,,
2026-06-16,2026-06-16 10:01:30,Top Opportunities,NAM-INDIA.NS,77.2,1142.1,1078.68,1268.94,13,824.0,OPEN,,
2026-06-16,2026-06-16 14:17:36,Top Opportunities,GENUSPOWER.NS,76.9,329.85,312.77,364.01,45,769.0,OPEN,,
