cluster,trend_regime,relative_leadership,participation_impulse,state_name
0,0.08124481065736061,0.3681373119390745,-0.12053015224696276,Fog
1,-0.011574897414190556,0.19379758721129162,0.06877405346913523,Mixed Terrain
2,0.06840469188703505,0.09828898298997715,0.19345865095568038,City
