from_state,City,Fog,Mixed Terrain
City,0.0,0.35714285714285715,0.6428571428571429
Fog,0.009985734664764621,0.8901569186875892,0.09985734664764621
Mixed Terrain,0.006129597197898424,0.063922942206655,0.9299474605954466
