k,silhouette,inertia
3,0.29687361521226896,73.01874053136508
4,0.278693117668474,59.05880894317593
5,0.26907988306539227,48.75976855606574
6,0.24841988783204907,41.196407389271094
7,0.2513919368119733,33.724001654039895
8,0.2466561342265234,28.118849849094403
