date,index_close,trend_regime,relative_leadership,participation_impulse,fwd_return_1d,fwd_return_5d,fwd_return_10d,fwd_return_20d,trend_regime_level,relative_leadership_level,participation_impulse_level,combo_label,market_state
2018-10-23,551.0931627906976,-0.1526640656514156,-0.020732813409388,-0.0118983112435152,0.0031609900423708,0.0173738403914824,0.0476471905041191,0.0594304203568072,LOW,LOW,MEDIUM,LOW Trend + LOW Leadership + MEDIUM Participation,Mixed Terrain
2018-10-24,552.8351627906977,-0.1440943935693025,0.0199128401869105,0.4191337127863793,-0.0064712506087016,0.0306875610173888,0.0542853598101948,0.0502249773068625,LOW,LOW,HIGH,LOW Trend + LOW Leadership + HIGH Participation,Mixed Terrain
2018-10-25,549.2576279069767,-0.1482826839422064,0.0052676333463375,-0.0894117072418467,0.0004509257696583,0.044811182349385,0.0667239201259306,0.0607247451938519,LOW,LOW,MEDIUM,LOW Trend + LOW Leadership + MEDIUM Participation,Mixed Terrain
2018-10-26,549.5053023255814,-0.1449868266157661,0.0017691554812401,0.1436164076825945,0.0163226729767254,0.0594042980223057,0.0577767543374727,0.0619931730592553,LOW,LOW,MEDIUM,LOW Trend + LOW Leadership + MEDIUM Participation,Mixed Terrain
2018-10-29,558.4746976744185,-0.1218078494291861,0.2381497104361005,1.1300503685893064,0.0039268919014134,0.036871222642532,0.04547227877314,0.0443916236941692,LOW,MEDIUM,HIGH,LOW Trend + MEDIUM Leadership + HIGH Participation,Mixed Terrain
2018-10-30,560.6677674418605,-0.1116688350693026,0.2685868693007248,0.3539444602648349,0.0162887161878479,0.0297563677290813,0.0423830109266254,0.0461805658964451,LOW,MEDIUM,HIGH,LOW Trend + MEDIUM Leadership + HIGH Participation,Mixed Terrain
2018-10-31,569.8003255813953,-0.0834135160378819,0.3325198748093879,0.7132953901356224,0.0071431795732277,0.0228952009176406,0.0308213855648404,0.0372247008093311,LOW,MEDIUM,HIGH,LOW Trend + MEDIUM Leadership + HIGH Participation,Mixed Terrain
2018-11-01,573.8705116279069,-0.0677645137492024,0.3472699496948174,-0.84463397058463,0.0144244516387135,0.0209729165869685,0.0241164506158633,0.0327566918012207,LOW,MEDIUM,LOW,LOW Trend + MEDIUM Leadership + LOW Participation,Mixed Terrain
2018-11-02,582.1482790697675,-0.0415381130284805,0.3788865284668476,0.3153351717747569,-0.0052940747022381,-0.0015362819349243,0.01332136200705,0.0220585562502764,LOW,HIGH,HIGH,LOW Trend + HIGH Leadership + HIGH Participation,Mixed Terrain
2018-11-05,579.0663425925927,-0.0418565627204791,0.3818156352226219,-0.4769828586753936,-0.0029619039525076,0.0082952018946844,0.010684344762198,0.0182939762627145,LOW,HIGH,LOW,LOW Trend + HIGH Leadership + LOW Participation,Fog
2018-11-06,577.3512037037036,-0.0427719417404336,0.3640756003763883,-0.2877247060642443,0.0095172830325209,0.0122617772448345,0.0112473263513626,0.0074424338610254,LOW,HIGH,LOW,LOW Trend + HIGH Leadership + LOW Participation,Fog
2018-11-07,582.8460185185185,-0.0204121437961545,0.4335371176515106,2.721574577468645,0.0052504973599374,0.0077487748892448,-0.0038513126124252,0.0002152591919251,LOW,HIGH,HIGH,LOW Trend + HIGH Leadership + HIGH Participation,Mixed Terrain
2018-11-09,585.90625,-0.0158860499620338,0.3930500332657359,0.2128409439107586,-0.0079403741039026,0.0030789592728897,-0.0056239246340051,-0.0207225669319648,LOW,HIGH,MEDIUM,LOW Trend + HIGH Leadership + MEDIUM Participation,Mixed Terrain
2018-11-12,581.2539351851852,-0.0274353087373476,0.3456180770012512,-0.1304185069583444,0.0045004076037715,0.0148805045923621,0.0039861139928563,-0.0011601673744146,LOW,MEDIUM,MEDIUM,LOW Trend + MEDIUM Leadership + MEDIUM Participation,Mixed Terrain
2018-11-13,583.8698148148148,-0.0247612195815962,0.3413076094219667,-2.6179387083129164,0.0009603865904912,0.0023694874903938,-0.001033652542408,0.0166089314049904,LOW,MEDIUM,LOW,LOW Trend + MEDIUM Leadership + LOW Participation,Mixed Terrain
2018-11-14,584.4305555555555,-0.0270819876896607,0.2990086853742866,-0.131375258417578,0.0050165165521993,-0.0010021625989209,0.0036431474131988,0.0217086115798061,LOW,MEDIUM,MEDIUM,LOW Trend + MEDIUM Leadership + MEDIUM Participation,Mixed Terrain
2018-11-15,587.3623611111111,-0.0183477648051951,0.2994780530335881,0.2387851292075709,0.0005922585330668,-0.0115108921893206,0.0062118571986959,0.0168891419557946,LOW,MEDIUM,MEDIUM,LOW Trend + MEDIUM Leadership + MEDIUM Participation,Mixed Terrain
2018-11-16,587.7102314814815,-0.0091168824615691,0.3160100121591669,-0.2329869318006425,0.0037315252280487,-0.0086761703317985,0.0084367760913923,0.0217011390959309,LOW,MEDIUM,MEDIUM,LOW Trend + MEDIUM Leadership + MEDIUM Participation,Mixed Terrain
2018-11-19,589.903287037037,0.0060610389972213,0.3368005408878302,0.2262132742893974,-0.00788264805805,-0.0107346535382328,0.0086223330236727,0.0188806843808595,LOW,MEDIUM,MEDIUM,LOW Trend + MEDIUM Leadership + MEDIUM Participation,Mixed Terrain
